_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67b87905201060369ce103ae,,65.43,87.32,65.43,70.65,124;0;0;0,words,25,-1,6,22.74,0,23.71,false,false,english,,normal,false,false,false,,1740142853000
67b878ce201060369ce100c1,,61.97,91.24,61.97,56.4,120;0;0;0,words,25,-1,9,23.24,0,20.18,false,false,english,,normal,false,false,false,,1740142798000
67b87899201060369ce0fdd7,,73.45,96.09,73.45,62.49,122;0;0;0,words,25,-1,4,19.93,0,12.76,false,false,english,,normal,false,false,false,,1740142745000
67b87856201060369ce0fa5d,,59.34,91.49,66.21,67.94,121;5;0;0,words,25,-1,0,24.47,0,0,false,false,english,,normal,false,false,false,,1740142678000
67b8783c201060369ce0f916,,65.83,93.06,65.83,56.59,132;0;0;0,words,25,-1,5,24.06,0,16.19,false,false,english,,normal,false,false,false,,1740142652000
67b87803201060369ce0f632,,69.77,97.56,69.77,72.37,120;0;0;0,words,25,-1,1,20.64,0,1.21,false,false,english,,normal,false,false,false,,1740142595000
67b7099d2efbe7d066c77de7,,77.82,92.13,81.88,83.6,115;3;1;0,words,25,-1,2,17.73,0,30.4,false,false,english,,normal,false,false,false,,1740048797000
67b709682efbe7d066c77ba7,,70.28,95.1,70.28,74.13,134;0;0;0,words,25,-1,12,22.88,0,60.29,false,false,english,,normal,false,false,false,,1740048744000
67b7083d2efbe7d066c76f31,,63.76,88.97,64.84,54.1,119;1;0;1,words,25,-1,3,22.4,0,12.65,false,false,english,,normal,false,false,false,,1740048445000
67b707b62efbe7d066c76988,,73.64,98.33,73.64,63.88,117;0;0;0,words,25,-1,14,19.07,0,49.97,false,false,english,,normal,false,false,false,,1740048310000
67b70648e071e2ee083c513a,,78.73,97.56,78.73,70.2,119;0;0;0,words,25,-1,1,18.14,0,0.91,false,false,english,,normal,false,false,false,,1740047944000
67b7061be071e2ee083c4f13,,59.7,93.44,66.46,53.38,106;3;0;1,words,25,-1,0,21.31,0,0,false,false,english,,normal,false,false,false,,1740047899000
